Timestamp,Inquiries,PreviousInquiries,Salesperson,Product,AgeGroup,Gender,Country,ReferralSource,Continent,Hour,TargetInquiries,Sales,ForecastedSales,HttpMethod,StatusCode,Url,UserAgent,IPAddress,RequestSize
2025-01-01 00:00:00,4,4,Lerato,AI-Analytics,35-44,Female,Germany,Email Campaign,Europe,0,3,20,20,GET,200,/api/inquiries,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",192.168.154.216,626
2025-01-01 02:00:00,6,3,Kagiso,AI-Chatbot,18-24,Female,UK,Email Campaign,Europe,2,1,24,24,POST,201,/api/submit,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",10.0.16.40,2023
2025-01-01 03:00:00,4,9,Lerato,AI-Vision,18-24,Female,Kenya,Website,Africa,3,6,19,20,GET,200,/api/inquiries,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",192.168.51.195,319
2025-01-01 03:00:00,7,5,Lerato,AI-Vision,18-24,Female,Japan,Email Campaign,Asia,3,2,27,26,POST,201,/api/submit,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",10.0.113.32,2952
2025-01-01 04:00:00,4,3,Kagiso,AI-Analytics,45-54,Other,UK,Website,Europe,4,3,16,17,PUT,200,/api/update,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",172.16.9.212,1416
2025-01-01 07:00:00,3,3,Kagiso,AI-Chatbot,45-54,Other,Brazil,Direct,South America,7,5,12,12,GET,200,/api/inquiries,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",192.168.223.140,542
2025-01-01 07:00:00,5,2,Momphitisi,AI-Analytics,18-24,Female,Nigeria,Website,Africa,7,4,24,24,POST,201,/api/submit,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",10.0.204.92,2875
2025-01-01 08:00:00,5,1,Lerato,AI-Chatbot,35-44,Female,Brazil,Direct,South America,8,3,22,23,GET,200,/api/inquiries,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",192.168.155.124,592
2025-01-01 17:00:00,5,4,Tshepo,AI-Automation,25-34,Other,Kenya,Email Campaign,Africa,17,12,15,14,PUT,200,/api/update,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",172.16.255.107,1155
2025-01-01 18:00:00,4,5,Lerato,AI-Vision,35-44,Male,Brazil,Website,South America,18,4,15,14,POST,500,/api/error,Python-urllib/3.9,192.168.189.155,1265
2025-01-01 20:00:00,5,8,Lerato,AI-Analytics,18-24,Other,Brazil,Social Media,South America,20,3,20,19,GET,404,/api/error,Python-urllib/3.9,192.168.234.20,1425
2025-01-01 21:00:00,2,4,Kagiso,AI-Chatbot,35-44,Male,Kenya,Direct,Africa,21,3,12,11,PUT,200,/api/update,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",172.16.215.168,1623
2025-01-01 23:00:00,5,10,Naledi,AI-Vision,45-54,Female,Japan,Social Media,Asia,23,3,19,19,POST,404,/api/error,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",192.168.174.163,512
